ឈ្មោះ,ថ្ងៃ ខែ ឆ្នាំ,សំណល់ចាស់,ចំណូលថ្មី,សរុប,ចំណាយ,សល់
Sola A1,,,,,,
,28/07/24,0,1,1,1,0
,31/08/24,0,1,1,0,1
,01/06/25,1,,1,1,0
,11/8/25,0,1,1,,1
,03/09/25,1,0,1,1,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
