ឈ្មោះ,ថ្ងៃ ខែ ឆ្នាំ,សំណល់ចាស់,ចំណូលថ្មី,សរុប,ចំណាយ,សល់
ប្រអប់ដាក់ពុម្ព,,,,,,
,06/02/26,0,,0,5,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
,,-5,,-5,,-5
