ឈ្មោះ,ថ្ងៃ ខែ ឆ្នាំ,សំណល់ចាស់,ចំណូលថ្មី,សរុប,ចំណាយ,សល់
Fluocaril,,,,,,
,15/09/24,,2,2,,2
,29/10/24,2,,2,,2
,31/12/24,2,,2,2,0
,07/01/25,0,10,10,3,7
,30/4/25,7,,7,4,3
,19/07/25,3,0,3,3,0
,20/07/25,0,4,4,0,4
,31/08/25,4,0,4,2,2
,17/09/25,2,0,2,2,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
,,0,,0,,0
