ឈ្មោះ,ថ្ងៃ ខែ ឆ្នាំ,សំណល់ចាស់,ចំណូលថ្មី,សរុប,ចំណាយ,សល់
វែនតាខ្មៅ,,,,,,
,01.09.2024,0,3,3,0,3
,17/11/24,3,0,3,1,2
,29/4/25,2,,2,1,1
,14/08/25,1,10,11,1,10
,4/11/25,10,0,10,3,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
,,7,,7,,7
