ឈ្មោះថ្នាំ,ថ្ងៃ ខែ ឆ្នាំ,សំណល់ចាស់,ចំណូលថ្មី,សរុប,ចំណាយ,សល់,
ថ្នាំស្ពឹក Septanest,,,,,,,បាត់
,,4,0,4,1,3,
,,3,2,5,1,4,
,,4,0,4,1,3,
,,3,0,3,2,1,
,,1,5,6,,6,
,,6,0,6,1,5,
,,5,0,5,1,4,
,,4,5,9,2,7,
,,7,,7,2,5,
,,5,1,6,1,5,
,,5,5,10,2,8,
,,8,0,8,1,7,
,,7,0,7,1,6,
,,6,1,7,1,6,
,,6,5,11,0,11,
,,11,0,11,4,7,
,,7,0,7,3,4,
,,4,,4,4,0,
,,0,10,10,1,9,
,,9,1,10,1,9,
,,9,3,12,2,10,
,,10,,10,2,8,
,,8,,8,2,6,
,,6,0,6,2,4,
,,4,5,9,0,9,
,,9,0,9,1,8,
,,8,10,18,3,15,
,,15,5,20,2,18,
,,18,0,18,2,16,
,,16,0,16,2,14,
,,14,10,24,3,21,
,,21,0,21,2,19,
,,19,0,19,2,17,5
,,12,0,12,2,10,
,,10,1,11,1,10,
,,10,1,11,1,10,
,,10,,10,1,9,
,,9,,9,2,7,
,06/02/26,7,,7,1,6,
,23/02/26,6,,6,1,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
,,5,,5,,5,
